vinho_id,rotulo,ano_producao,uva_id,pais_producao_id
6,right-arneis,1978,0,3
157,concentric-barolo,1978,0,1
159,tractable-arneis,1978,0,1
162,recursive-riesling,1978,0,3
191,green-muscat,1978,0,0
321,allegro-pinot,1978,0,3
349,worn-grappa,1978,0,1
399,oriented-madeira,1978,0,0
414,lower-beaujolais,1978,0,2
491,concentric-rosé,1978,0,0
5,emerald-zinfandel,1948,1,2
92,ordered-burgundy,1948,1,0
196,orthogonal-muscat,1948,1,2
219,coherent-chablis,1948,1,0
392,heather-dolcetto,1920,10,0
8,brownian-chardonnay,1996,11,2
156,light-chianti,1996,11,0
199,freezing-blanc,1996,11,0
207,sunny-chianti,1996,11,1
217,red-mead,1996,11,3
243,charcoal-madeira,1996,11,2
254,plain-shiraz,1996,11,3
263,grandioso-barbaresco,1996,11,2
355,freezing-chianti,1996,11,2
429,matte-blanc,1996,11,2
493,stone-moscato,1996,11,1
104,partial-chardonnay,1916,12,0
145,pallid-chablis,1916,12,2
216,brutal-burgundy,1916,12,0
245,cold-barolo,1916,12,1
250,partial-beaujolais,1916,12,1
286,proper-lambrusco,1916,12,1
315,simple-chardonnay,1916,12,0
376,optical-pinot,1916,12,0
35,warm-champagne,2002,13,1
114,plumb-shiraz,2002,13,1
275,bounded-merlot,2002,13,3
346,wood-chinon,2002,13,3
437,direct-grappa,2002,13,0
115,ternary-port,1976,14,2
131,product-sherry,1976,14,2
347,round-burgundy,1976,14,2
3,bright-bardolino,1994,15,0
113,adiabatic-sauvignon,1994,15,3
144,chilly-prosecco,1994,15,1
163,neat-chinon,1994,15,0
171,maroon-banylus,1994,15,3
179,gritty-riesling,1994,15,2
194,laminated-chinon,1994,15,3
261,principal-champagne,1994,15,1
268,direct-chablis,1994,15,0
352,terminal-mead,1994,15,1
357,windy-barolo,1994,15,1
470,rowdy-barbaresco,1994,15,1
42,jovial-sherry,1980,16,2
66,inverse-chinon,1980,16,1
93,brave-riesling,1980,16,1
148,nondeterministic-auslese,1980,16,1
248,quick-merlot,1980,16,0
283,chamfered-pinot,1980,16,2
299,naive-barbaresco,1980,16,1
372,internal-zinfandel,1980,16,3
412,broad-cabernet,1980,16,2
434,free-mead,1980,16,2
457,chestnut-auslese,1980,16,1
459,easy-shiraz,1980,16,3
26,cold-marsanne,2006,17,1
80,wan-sauvignon,2006,17,3
279,buoyant-cabernet,2006,17,2
343,magnetic-beaujolais,2006,17,2
390,rosy-prosecco,2006,17,1
13,concrete-zinfandel,1988,18,1
61,cheerful-burgundy,1988,18,0
147,bone-zinfandel,1988,18,0
150,auburn-zinfandel,1988,18,2
189,decidable-prosecco,1988,18,3
252,cool-mead,1988,18,1
256,optimal-albariño,1988,18,3
306,wooden-moscato,1988,18,0
311,absolute-albariño,1988,18,1
340,express-chianti,1988,18,3
483,frosty-bardolino,1988,18,2
16,smart-claret,1950,19,3
38,crunchy-burgundy,1950,19,2
110,chartreuse-rosé,1950,19,1
317,charitable-muscat,1950,19,1
341,ragged-amarone,1950,19,3
15,vibrant-muscat,1970,2,0
322,isometric-sauvignon,1970,2,0
351,rowdy-grappa,1970,2,1
405,maximum-cabernet,1970,2,0
427,citron-shiraz,1970,2,0
36,frosty-claret,1964,20,2
54,annoying-zinfandel,1964,20,3
231,staccato-zinfandel,1964,20,3
337,trusting-chardonnay,1964,20,2
400,vain-pinot,1964,20,1
484,vivid-madeira,1964,20,3
489,mild-chinon,1964,20,0
46,collinear-claret,1930,21,3
124,simple-bardolino,1930,21,2
168,oily-lambrusco,1930,21,0
488,leather-barbaresco,1930,21,1
89,champagne-sauvignon,1996,22,2
154,cream-cabernet,1996,22,0
183,teal-bardolino,1996,22,1
240,fixed-sauvignon,1996,22,0
246,humane-rosé,1996,22,1
267,hot-grappa,1996,22,0
407,ascent-claret,1996,22,2
436,heartless-zinfandel,1996,22,2
467,hard-arneis,1996,22,0
17,radiant-champagne,1950,23,0
20,khaki-malbec,1950,23,3
72,human-burgundy,1950,23,0
86,bone-chianti,1950,23,3
103,mute-zinfandel,1950,23,0
195,wan-noir,1950,23,0
198,silver-banylus,1950,23,0
235,internal-rosé,1950,23,1
239,internal-albariño,1950,23,0
359,tense-sauvignon,1950,23,3
25,oscillating-dolcetto,1978,24,1
81,isomorphic-albariño,1978,24,2
102,camel-madeira,1978,24,1
120,violent-muscat,1978,24,3
264,energetic-rosé,1978,24,2
325,cloudy-amarone,1978,24,3
382,adventurous-madeira,1978,24,0
475,molto-port,1978,24,0
100,glass-barolo,1972,25,2
170,paper-shiraz,1972,25,1
222,critical-amarone,1972,25,2
393,closed-merlot,1972,25,1
424,resolving-port,1972,25,2
52,bright-chianti,1958,26,2
53,ragged-sauvignon,1958,26,2
91,breezy-port,1958,26,0
291,affable-chianti,1958,26,0
370,plain-sauvignon,1958,26,2
396,round-port,1958,26,0
478,unsorted-muscat,1958,26,3
498,avocado-champagne,1958,26,0
56,central-marsanne,1968,27,2
259,unary-lambrusco,1968,27,2
360,customer-marsanne,1968,27,1
367,muted-muscat,1968,27,2
174,plumb-malbec,2010,28,1
215,freezing-chianti,2010,28,1
229,respectful-amarone,2010,28,3
294,calm-chianti,2010,28,1
375,curious-noir,2010,28,3
453,central-barolo,2010,28,0
47,canary-champagne,1996,29,0
55,customer-zinfandel,1996,29,0
68,smoggy-barolo,1996,29,0
146,happy-champagne,1996,29,1
247,lenient-moscato,1996,29,3
386,ebony-chianti,1996,29,0
445,each-moscato,1996,29,3
450,chartreuse-chardonnay,1996,29,0
62,smoggy-muscat,1956,3,0
193,either-madeira,1956,3,1
302,hot-blanc,1956,3,0
417,gentle-beaujolais,1956,3,0
454,nullary-chardonnay,1956,3,0
472,weighted-amarone,1956,3,2
473,hot-claret,1956,3,0
0,jolly-barolo,1996,30,1
305,religious-sauvignon,1996,30,2
348,chewy-barolo,1996,30,1
11,shy-sauvignon,1974,31,0
77,jolly-rosé,1974,31,0
87,relaxed-barbaresco,1974,31,0
117,coplanar-chablis,1974,31,1
197,ragged-albariño,1974,31,0
333,cruel-moscato,1974,31,3
420,swarm-dolcetto,1974,31,0
479,glad-prosecco,1974,31,0
19,green-mead,1934,32,0
32,flat-claret,1934,32,1
34,weathered-marsanne,1934,32,1
43,buoyant-lambrusco,1934,32,1
78,crunchy-chablis,1934,32,1
94,creamy-muscat,1934,32,3
182,rigid-chinon,1934,32,1
202,oscillating-blanc,1934,32,2
203,district-beaujolais,1934,32,3
210,coplanar-blanc,1934,32,0
327,soluble-pinot,1934,32,0
374,primary-barbaresco,1934,32,3
388,perfect-chianti,1934,32,2
398,strong-muscat,1934,32,0
160,spicy-barbaresco,1992,33,3
186,chalky-champagne,1992,33,0
224,central-madeira,1992,33,0
421,diachronic-port,1992,33,0
425,steel-banylus,1992,33,2
461,flush-pinot,1992,33,0
495,feasible-marsanne,1992,33,3
29,chilly-chardonnay,1958,34,2
63,elaborate-banylus,1958,34,2
201,rounded-zinfandel,1958,34,2
220,silver-malbec,1958,34,1
277,weary-albariño,1958,34,2
378,serious-amarone,1958,34,0
23,mean-barolo,1942,35,2
108,exothermic-banylus,1942,35,0
230,teal-chinon,1942,35,0
232,brave-arneis,1942,35,2
238,resultant-arneis,1942,35,2
303,adiabatic-banylus,1942,35,0
339,tense-arneis,1942,35,2
362,scared-madeira,1942,35,3
10,ragged-chablis,1928,36,3
71,silver-dolcetto,1928,36,3
242,fat-muscat,1928,36,2
295,clever-noir,1928,36,2
409,fancy-dolcetto,1928,36,2
24,big-barbaresco,1934,37,3
48,relaxed-lambrusco,1934,37,1
296,coffee-dolcetto,1934,37,2
328,ancient-auslese,1934,37,3
441,bold-barbaresco,1934,37,3
443,libretto-sherry,1934,37,2
449,elegant-pinot,1934,37,1
98,great-marsanne,1916,38,2
181,honest-bardolino,1916,38,0
270,swift-chianti,1916,38,2
274,new-mead,1916,38,0
309,unsolvable-amarone,1916,38,1
312,vain-grappa,1916,38,0
320,foggy-merlot,1916,38,2
423,archaic-auslese,1916,38,0
142,ferocious-muscat,1958,39,1
211,kinetic-burgundy,1958,39,1
287,product-rosé,1958,39,3
137,adaptive-champagne,1920,4,3
276,optical-blanc,1920,4,3
293,formal-prosecco,1920,4,3
387,coplanar-prosecco,1920,4,1
404,neat-barolo,1920,4,2
432,white-sherry,1920,4,2
452,chilly-chablis,1920,4,0
485,fixed-prosecco,1920,4,2
492,another-sauvignon,1920,4,0
31,internal-bardolino,1928,40,3
368,pizzicato-riesling,1928,40,3
1,roaring-claret,2020,41,0
99,investor-riesling,2020,41,3
129,curious-pinot,2020,41,3
272,metal-moscato,2020,41,1
288,chief-sherry,2020,41,3
486,friendly-merlot,2020,41,1
96,cool-chablis,1998,42,3
206,bent-champagne,1998,42,2
213,roaring-cabernet,1998,42,3
465,mode-prosecco,1998,42,3
67,parallel-albariño,1958,43,3
214,rude-moscato,1958,43,1
331,leather-lambrusco,1958,43,2
109,fast-madeira,1948,44,1
301,fundamental-mead,1948,44,0
314,minimum-sauvignon,1948,44,1
332,shrewd-mead,1948,44,3
334,resolving-barbaresco,1948,44,0
416,beige-sherry,1948,44,0
497,angry-noir,1948,44,1
69,sunny-sauvignon,1912,45,0
73,iron-albariño,1912,45,3
85,kind-chianti,1912,45,3
218,poky-port,1912,45,2
285,dry-riesling,1912,45,3
377,sparse-mead,1912,45,3
494,beige-chablis,1912,45,3
88,ebony-prosecco,2016,46,3
140,each-mead,2016,46,1
176,rounded-dolcetto,2016,46,2
336,mode-auslese,2016,46,2
344,regular-barolo,2016,46,2
381,achromatic-malbec,2016,46,1
435,gilded-noir,2016,46,1
7,agile-barbaresco,1916,47,1
14,cruel-albariño,1916,47,3
37,warm-banylus,1916,47,3
44,black-chardonnay,1916,47,2
60,salmon-blanc,1916,47,2
97,merciless-merlot,1916,47,1
161,parallel-zinfandel,1916,47,2
180,one-sherry,1916,47,2
65,elaborate-pinot,1952,48,1
127,concrete-beaujolais,1952,48,3
237,ternary-chablis,1952,48,1
253,nice-cabernet,1952,48,3
345,rectilinear-champagne,1952,48,0
391,chalky-amarone,1952,48,3
397,parallel-riesling,1952,48,1
496,tart-prosecco,1952,48,2
101,quantum-chardonnay,1948,49,0
200,objective-arneis,1948,49,0
290,taxonomic-noir,1948,49,2
366,glad-pinot,1948,49,0
428,crabby-auslese,1948,49,1
444,claret-burgundy,1948,49,1
480,gray-port,1948,49,1
70,brutal-madeira,1916,5,0
139,adagio-mead,1916,5,1
329,ambitious-mead,1916,5,0
379,bounded-lambrusco,1916,5,3
402,relative-chardonnay,1916,5,3
462,cold-grappa,1916,5,0
49,achromatic-prosecco,1998,50,1
119,arid-muscat,1998,50,2
172,median-champagne,1998,50,1
205,flat-arneis,1998,50,2
415,cheerful-arneis,1998,50,0
440,trite-champagne,1998,50,2
446,gilded-port,1998,50,0
451,bold-zinfandel,1998,50,3
482,savage-lambrusco,1998,50,2
128,right-cabernet,2014,51,0
143,nippy-sherry,2014,51,3
187,stern-champagne,2014,51,2
260,wood-noir,2014,51,0
265,cold-madeira,2014,51,2
448,gravitational-dolcetto,2014,51,3
74,annoying-rosé,1958,52,1
135,kinetic-burgundy,1958,52,3
266,heather-chianti,1958,52,0
271,taxonomic-banylus,1958,52,2
406,juvenile-champagne,1958,52,0
408,basic-riesling,1958,52,1
463,sizzling-merlot,1958,52,2
18,serious-bardolino,1988,53,2
28,charcoal-arneis,1988,53,3
50,acute-pinot,1988,53,1
82,intricate-lambrusco,1988,53,1
132,lime-auslese,1988,53,1
308,perpendicular-mead,1988,53,3
350,red-zinfandel,1988,53,3
426,collinear-prosecco,1988,53,3
431,ebony-chianti,1988,53,1
141,brave-pinot,1928,54,0
152,isomorphic-burgundy,1928,54,1
244,zesty-lambrusco,1928,54,1
401,careful-grappa,1928,54,1
468,forward-lambrusco,1928,54,3
326,denim-muscat,1970,55,2
385,factorial-chablis,1970,55,1
456,bright-blanc,1970,55,2
474,ternary-arneis,1970,55,3
107,cross-auslese,1910,56,1
173,descent-chinon,1910,56,0
269,faded-amarone,1910,56,0
342,tangy-blanc,1910,56,1
353,adjacent-chablis,1910,56,3
433,linear-chardonnay,1910,56,1
83,balanced-amarone,1974,57,1
121,equilateral-pinot,1974,57,2
125,radiant-chablis,1974,57,2
126,hoary-sauvignon,1974,57,2
151,absolute-rosé,1974,57,3
158,sparse-chianti,1974,57,1
190,relative-auslese,1974,57,1
227,kind-rosé,1974,57,1
273,crabby-shiraz,1974,57,1
282,planar-chianti,1974,57,2
316,average-chardonnay,1974,57,1
330,quiet-champagne,1974,57,0
364,best-bardolino,1974,57,1
45,fast-lambrusco,1994,58,2
251,juvenile-moscato,1994,58,0
395,inventive-zinfandel,1994,58,2
4,mild-sauvignon,1944,59,1
75,staccato-rosé,1944,59,2
105,bare-chardonnay,1944,59,0
133,tense-sauvignon,1944,59,1
136,coplanar-prosecco,1944,59,2
365,future-marsanne,1944,59,0
2,potential-chardonnay,1968,6,2
40,worn-pinot,1968,6,2
106,numerous-banylus,1968,6,0
225,curious-banylus,1968,6,3
284,radial-pinot,1968,6,2
30,funny-barbaresco,1964,60,1
59,gray-auslese,1964,60,1
164,stale-lambrusco,1964,60,3
204,rapid-grappa,1964,60,1
255,humble-merlot,1964,60,2
307,brown-champagne,1964,60,1
319,medium-madeira,1964,60,2
335,figurative-amarone,1964,60,1
481,timid-moscato,1964,60,2
487,oriented-arneis,1964,60,3
123,bronze-merlot,1988,61,2
153,blue-rosé,1988,61,2
177,sleek-noir,1988,61,3
241,burning-chablis,1988,61,0
249,nippy-dolcetto,1988,61,0
323,silent-merlot,1988,61,3
418,icy-prosecco,1988,61,1
76,plum-grappa,1920,62,0
118,indigo-bardolino,1920,62,1
122,beige-bardolino,1920,62,0
149,messy-auslese,1920,62,2
166,acute-beaujolais,1920,62,3
324,complicated-shiraz,1920,62,3
371,ascent-pinot,1920,62,3
394,frigid-chianti,1920,62,2
447,genteel-arneis,1920,62,2
57,buoyant-beaujolais,1936,63,0
64,large-mead,1936,63,1
165,magnetic-chinon,1936,63,0
236,teal-mead,1936,63,3
369,sunny-claret,1936,63,3
442,shiny-chianti,1936,63,2
111,latent-claret,1912,64,2
209,violent-sherry,1912,64,0
298,sensitive-lambrusco,1912,64,0
389,freezing-port,1912,64,0
419,olive-albariño,1912,64,3
430,randomized-grappa,1912,64,1
27,threaded-chablis,1968,65,1
90,inflammable-beaujolais,1968,65,1
116,open-port,1968,65,1
292,happy-claret,1968,65,0
383,daring-claret,1968,65,3
438,simple-auslese,1968,65,3
464,cautious-rosé,1968,65,0
41,broad-claret,1958,66,2
79,muted-marsanne,1958,66,2
84,silver-marsanne,1958,66,2
169,chocolate-albariño,1958,66,1
208,dark-bardolino,1958,66,2
313,miniature-moscato,1958,66,2
476,finite-noir,1958,66,2
477,cruel-cabernet,1958,66,0
33,iron-marsanne,1966,67,0
138,collinear-auslese,1966,67,2
226,curious-malbec,1966,67,3
9,decidable-amarone,1968,68,2
58,dyadic-prosecco,1968,68,3
167,great-grappa,1968,68,2
175,champagne-chianti,1968,68,2
178,null-grappa,1968,68,0
185,cautious-dolcetto,1968,68,1
192,creative-arneis,1968,68,3
262,exact-port,1968,68,0
380,ancient-prosecco,1968,68,2
403,beveled-chablis,1968,68,1
460,friendly-noir,1968,68,1
130,radioactive-banylus,2008,69,3
304,interior-moscato,2008,69,2
490,polite-barolo,2008,69,0
39,lower-chianti,1920,7,2
51,colorful-chinon,1920,7,2
112,freezing-prosecco,1920,7,3
134,faint-barbaresco,1920,7,3
221,intense-chardonnay,1920,7,3
297,isochoric-claret,1920,7,3
361,champagne-rosé,1920,7,0
363,blaring-moscato,1920,7,1
471,exothermic-shiraz,1920,7,3
258,young-muscat,1984,70,3
300,blazing-blanc,1984,70,0
22,sluggish-pinot,2018,71,2
318,asymptotic-amarone,2018,71,0
358,reduced-arneis,2018,71,2
422,national-madeira,2018,71,1
234,stubborn-lambrusco,2016,72,0
373,brute-lambrusco,2016,72,3
413,impulsive-albariño,2016,72,0
499,brutal-sherry,2016,72,1
212,presto-moscato,1920,73,3
223,breezy-chablis,1920,73,2
281,wicker-auslese,1920,73,1
310,terminal-mead,1920,73,1
356,navy-grappa,1920,73,1
410,maroon-chablis,1920,73,2
411,happy-chardonnay,1920,73,3
458,allegro-grappa,1920,73,1
21,strong-chinon,1960,74,2
228,coincident-sauvignon,1960,74,3
278,purple-muscat,1960,74,2
338,shy-banylus,1960,74,2
354,coal-zinfandel,1960,74,2
439,dry-bardolino,1960,74,2
466,investor-barbaresco,1960,74,0
469,bitter-chinon,1960,74,1
12,parallel-chardonnay,2014,8,0
95,absolute-sauvignon,2014,8,1
155,champagne-banylus,2014,8,3
257,indulgent-dolcetto,2014,8,1
280,molten-riesling,2014,8,1
289,staff-burgundy,2014,8,2
184,parallel-blanc,1924,9,3
188,burning-chinon,1924,9,1
233,rust-muscat,1924,9,0
384,persistent-albariño,1924,9,2
455,scared-blanc,1924,9,2
